countries,death_rate
Lesotho,15
Lithuania,14.6
Bulgaria,14.5
Latvia,14.5
Ukraine,14.4
Guinea-Bissau,13.9
Chad,13.8
Serbia,13.6
Russia,13.5
Afghanistan,13.4
Central African Republic,13.2
Belarus,13.2
Swaziland,13.2
Somalia,13.1
Gabon,13
Hungary,12.8
Estonia,12.6
Moldova,12.6
Nigeria,12.4
Zambia,12.2
Croatia,12.2
Romania,12
Niger,11.8
Germany,11.7
Mozambique,11.6
Slovenia,11.6
Greece,11.3
Burkina Faso,11.2
Portugal,11.1
Georgia,10.9
Czechia,10.5
Italy,10.4
Poland,10.4
Sierra Leone,10.4
Denmark,10.3
Zimbabwe,10.2
Isle of Man,10.2
Uganda,10.2
Bosnia and Herzegovina,10
Finland,10
Slovakia,9.9
Saint Pierre and Miquelon,9.9
Mali,9.8
Monaco,9.8
Japan,9.8
Belgium,9.7
Montenegro,9.7
Cameroon,9.6
Botswana,9.6
Austria,9.6
Democratic Republic of the Congo,9.6
 Republic of the Congo,9.5
Cote d'Ivoire,9.4
Armenia,9.4
United Kingdom,9.4
Uruguay,9.4
Sweden,9.4
South Africa,9.4
Malta,9.4
France,9.3
 North Korea,9.3
Angola,9.2
Macedonia,9.2
Spain,9.1
Guernsey,9
Guinea,9
Netherlands,8.9
Faroe Islands,8.8
Burundi,8.8
Trinidad and Tobago,8.8
Greenland,8.7
San Marino,8.7
Canada,8.7
Cuba,8.7
Bermuda,8.6
Puerto Rico,8.6
Barbados,8.6
Gibraltar,8.5
Tuvalu,8.5
Cook Islands,8.4
Curacao,8.4
Aruba,8.4
Switzerland,8.3
Grenada,8.2
US,8.2
Palau,8.1
Norway,8.1
Kazakhstan,8.1
Western Sahara,8.1
Senegal,8.1
Thailand,8
Benin,7.9
Dominica,7.9
Malawi,7.9
Mauritania,7.9
Namibia,7.9
Equatorial Guinea,7.8
Jersey,7.8
Virgin Islands,7.8
Saint Helena; Ascension and Tristan da Cunha,7.8
China,7.8
Ethiopia,7.7
Saint Lucia,7.7
South Sudan,7.7
Liberia,7.6
Haiti,7.6
Tanzania,7.6
Djibouti,7.5
Cambodia,7.5
Argentina,7.5
New Zealand,7.5
Guyana,7.4
Taiwan*,7.4
Burma,7.4
Laos,7.4
Liechtenstein,7.4
Hong Kong,7.4
India,7.3
Australia,7.3
Andorra,7.3
Saint Vincent and the Grenadines,7.3
Sudan,7.3
Luxembourg,7.3
Comoros,7.2
Bahamas,7.2
Eritrea,7.2
Mauritius,7.1
Azerbaijan,7.1
Saint Kitts and Nevis,7.1
Kiribati,7
Ghana,7
Seychelles,7
Gambia,7
Togo,6.9
Jamaica,6.8
Albania,6.8
Cyprus,6.8
Sao Tome and Principe,6.8
Brazil,6.7
Kenya,6.7
Papua New Guinea,6.6
Ireland,6.6
Kyrgyzstan,6.5
Bhutan,6.5
Indonesia,6.5
Madagascar,6.5
Bolivia,6.4
Iceland,6.4
Rwanda,6.4
Pakistan,6.3
Tunisia,6.3
Mongolia,6.3
Sri Lanka,6.2
Montserrat,6.2
Chile,6.2
Philippines,6.1
Peru,6.1
Suriname,6.1
Fiji,6.1
Turkmenistan,6.1
Tajikistan,6
Guam,6
Cabo Verde,6
Belize,6
Turkey,6
Yemen,6
 South Korea,6
American Samoa,5.9
Nauru,5.9
Vietnam,5.9
Timor-Leste,5.9
Cayman Islands,5.8
El Salvador,5.8
New Caledonia,5.7
Antigua and Barbuda,5.7
Nepal,5.6
Colombia,5.5
Bangladesh,5.4
Wallis and Futuna,5.4
Samoa,5.3
Uzbekistan,5.3
Mexico,5.3
Iran,5.3
Honduras,5.3
Venezuela,5.3
French Polynesia,5.2
Israel,5.2
Sint Maarten,5.2
Nicaragua,5.1
British Virgin Islands,5.1
Ecuador,5.1
Malaysia,5.1
Lebanon,5
Falkland Islands (Islas Malvinas),4.9
Morocco,4.9
Tonga,4.9
Panama,4.9
Paraguay,4.8
Northern Mariana Islands,4.8
Guatemala,4.7
Costa Rica,4.7
Dominican Republic,4.7
Egypt,4.6
Anguilla,4.6
Macau,4.5
Algeria,4.3
 Federated States of Micronesia,4.2
Marshall Islands,4.2
Maldives,4
Vanuatu,4
Syria,4
Iraq,3.8
Solomon Islands,3.8
Brunei,3.6
Libya,3.6
West Bank,3.5
Singapore,3.5
Jordan,3.4
Saudi Arabia,3.4
Oman,3.3
Turks and Caicos Islands,3.2
Gaza Strip,3.1
Bahrain,2.8
Kuwait,2.2
United Arab Emirates,1.9
Qatar,1.5
